# Data2
# zs, mu, muerr
0.022183, 19.6482, 0.0733
0.025017, 19.7263, 0.0863
0.030548, 20.4002, 0.0993
0.037793, 20.7869, 0.0707
0.040797, 21.0968, 0.0980
0.041765, 21.0612, 0.0562
0.043854, 21.1933, 0.0856
0.049766, 21.2245, 0.0754
0.060610, 21.9022, 0.0616
0.067716, 22.1364, 0.0608
0.068928, 22.0185, 0.0865
0.072121, 22.3808, 0.0928
0.073364, 22.2813, 0.0952
0.075471, 22.1908, 0.0762
0.078317, 22.4154, 0.0555
0.091492, 22.6899, 0.0727
0.109134, 23.2286, 0.0681
0.110020, 23.1564, 0.1020
0.123910, 23.3676, 0.0600
0.124139, 23.5077, 0.1046
0.134115, 23.8304, 0.1018
0.136710, 23.8141, 0.0719
0.138906, 23.7278, 0.0911
0.139418, 23.7576, 0.0702
0.148662, 23.8173, 0.0687
0.154820, 23.9700, 0.0674
0.162350, 24.0270, 0.0999
0.162920, 23.9711, 0.0637
0.169133, 24.0814, 0.0803
0.169586, 24.1190, 0.0768
0.170923, 24.1790, 0.0793
0.176165, 24.0720, 0.0786
0.177011, 24.4717, 0.0824
0.180092, 24.2696, 0.0994
0.188156, 24.2360, 0.1046
0.207104, 24.6395, 0.0602
0.210187, 24.6352, 0.0663
0.211583, 24.7812, 0.0920
0.212960, 24.6328, 0.0928
0.220379, 24.8181, 0.0584
0.222403, 24.7661, 0.0581
0.234328, 25.1000, 0.0697
0.234865, 24.8817, 0.0551
0.234941, 25.0145, 0.0960
0.238508, 25.0186, 0.0553
0.239902, 24.9682, 0.0940
0.248115, 25.1614, 0.0560
0.251004, 25.0846, 0.0849
0.252697, 25.0581, 0.0658
0.256898, 25.1727, 0.0804
0.266340, 25.0519, 0.0932
0.269495, 25.2360, 0.0702
0.270337, 25.2136, 0.0684
0.273624, 25.2430, 0.0766
0.277562, 25.2320, 0.0913
0.281172, 25.3336, 0.0694
0.293906, 25.5811, 0.0825
0.294696, 25.4477, 0.0958
0.310298, 25.4465, 0.0923
0.311739, 25.5395, 0.1039
0.313673, 25.6615, 0.0766
0.315154, 25.6463, 0.0552
0.315612, 25.5838, 0.0673
0.324511, 25.6657, 0.1013
0.327130, 25.6412, 0.0663
0.338269, 25.6867, 0.1024
0.343116, 25.7858, 0.0890
0.349208, 25.7708, 0.0608
0.354031, 26.0433, 0.1023
0.354219, 25.9364, 0.0590
0.354738, 25.8605, 0.0848
0.357565, 25.7678, 0.0885
0.359664, 25.9677, 0.0834
0.360471, 25.9300, 0.0784
0.360962, 25.8244, 0.0914
0.361792, 26.0511, 0.1043
0.365050, 25.9110, 0.0644
0.370268, 25.9635, 0.1010
0.371633, 26.0774, 0.0560
0.372597, 25.9384, 0.0721
0.375127, 26.0631, 0.0892
0.379977, 26.0914, 0.0744
0.381130, 26.1262, 0.0679
0.385424, 26.2051, 0.0850
0.392025, 26.0466, 0.0900
0.409076, 26.3491, 0.0798
0.415111, 26.4441, 0.0914
0.418008, 26.2666, 0.0735
0.427055, 26.3786, 0.0765
0.427463, 26.4067, 0.0825
0.433062, 26.5144, 0.0791
0.439181, 26.3173, 0.0882
0.444365, 26.4625, 0.0837
0.445041, 26.4875, 0.0609
0.451543, 26.4105, 0.0773
0.452504, 26.5162, 0.0680
0.454001, 26.4608, 0.0710
0.454396, 26.5903, 0.0662
0.457063, 26.4554, 0.1049
0.460560, 26.4116, 0.0760
0.470555, 26.5970, 0.0821
0.471788, 26.5398, 0.0665
0.474408, 26.6990, 0.0649
0.477357, 26.4862, 0.0947
0.478540, 26.7155, 0.0638
0.480260, 26.6226, 0.0606
0.480967, 26.6638, 0.0996
0.489092, 26.4850, 0.0858
0.492508, 26.8282, 0.0798
0.495064, 26.6937, 0.0815
0.497840, 26.7715, 0.0948
0.500417, 26.8143, 0.0977
0.500619, 26.6546, 0.1007
0.508437, 26.7275, 0.0928
0.515605, 26.6633, 0.0884
0.535397, 27.0710, 0.0865
0.547133, 26.9432, 0.0862
0.547611, 27.0821, 0.0896
0.559497, 27.0029, 0.0829
0.565455, 27.1001, 0.0968
0.572462, 27.0650, 0.0620
0.585285, 27.2055, 0.0713
0.587096, 27.2682, 0.0666
0.587931, 27.1337, 0.0993
0.589424, 27.3174, 0.1005
0.597120, 27.2492, 0.0691
0.603088, 27.3411, 0.0618
0.603629, 27.2473, 0.0794
0.615574, 27.2508, 0.0882
0.620673, 27.3100, 0.0787
0.625367, 27.2973, 0.1027
0.638787, 27.3746, 0.0645
0.639893, 27.2296, 0.0996
0.640756, 27.4336, 0.1014
0.640893, 27.3100, 0.0837
0.641616, 27.4465, 0.0604
0.646274, 27.3545, 0.0796
0.648969, 27.3268, 0.0800
0.651049, 27.4660, 0.0914
0.652539, 27.3668, 0.0825
0.653723, 27.3775, 0.0671
0.659528, 27.4082, 0.0925
0.681734, 27.3624, 0.0997
0.698873, 27.6073, 0.0593
0.699386, 27.4174, 0.0942
0.705278, 27.5806, 0.0746
0.711267, 27.5901, 0.0850
0.711310, 27.6386, 0.0843
0.726441, 27.7200, 0.0734
0.728121, 27.5801, 0.0767
0.731292, 27.5872, 0.0724
0.733219, 27.6664, 0.0618
0.740934, 27.6418, 0.0572
0.743412, 27.6989, 0.0754
0.750498, 27.8487, 0.0853
0.752139, 27.7754, 0.0811
0.754526, 27.7266, 0.0845
0.758624, 27.7188, 0.0863
0.759161, 27.7363, 0.0755
0.760677, 27.8419, 0.0595
0.771651, 28.0132, 0.0983
0.772990, 27.9087, 0.0640
0.780864, 27.7018, 0.0898
0.782808, 27.9003, 0.1005
0.787174, 27.8799, 0.0698
0.795702, 27.9519, 0.0953
0.800230, 27.8449, 0.0723
